English Sentence,Korean Pronounce,Direct Comprehension,Comprehension
I'm trying to sleep,아임 트라이잉 투 슬립,나는 / 노력 중이다 / 자는 것을,나 자려고 하고 있어
I'm supposed to be there now,아임 서포즈드 투 비 데어 나우,나는 / ~하기로 되어 있다 / 거기 있는 것을 / 지금,나 지금 거기 가 있어야 돼
I was about to call you,아이 워즈 어바웃 투 콜 유,나는 / 막 ~하려던 참이었다 / 너에게 전화하는 것을,너한테 막 전화하려던 참이었어
I'm here to help you,아임 히어 투 헬프 유,나는 / 여기 있다 / 당신을 돕기 위해,너 도와주러 왔어
I've been waiting for you,아이브 빈 웨이팅 포 유,나는 / 쭉 해왔다 / 기다리는 것을 / 너를 위해,계속 널 기다리고 있었어
Let me check,렛 미 체크,하게 해줘 / 내가 / 확인하는 것을,내가 확인해 볼게
Can I get a coffee,캔 아이 겟 어 커피,할 수 있을까요 / 제가 / 얻는 것을 / 커피 한 잔을,커피 한 잔 주실래요?
Can you help me,캔 유 헬프 미,할 수 있나요 / 당신이 / 돕는 것을 / 나를,나 좀 도와줄 수 있어?
Do you mind opening the window,두 유 마인드 오프닝 더 윈도,당신은 / 꺼려하나요 / 여는 것을 / 그 창문을,창문 좀 여는 거 괜찮을까요?
I'm not sure if it works,아임 낫 슈어 이프 잇 웍스,나는 / 확신하지 못한다 / 만약 그것이 작동하는지,이게 되는지 잘 모르겠어
I don't think that's true,아이 돈 띵크 댓츠 트루,나는 / 생각하지 않는다 / 그것이 / 사실이라고,그건 사실이 아닌 것 같아
I think you should try it,아이 띵크 유 슈드 트라이 잇,나는 / 생각한다 / 당신이 / 해야 한다고 / 그것을 시도하는 것을,그거 한번 해보는 게 좋을 것 같아
It feels like summer,잇 필즈 라이크 서머,그것은 / 느껴진다 / ~처럼 / 여름,여름처럼 느껴져
It looks like rain,잇 룩스 라이크 레인,그것은 / 보인다 / ~처럼 / 비,비 올 것 같아
It sounds like a plan,잇 사운즈 라이크 어 플랜,그것은 / 들린다 / ~처럼 / 하나의 계획,그거 좋은 생각이네
There is a problem,데어 이즈 어 프러블럼,거기에 / 있다 / 하나의 문제,문제가 하나 있어
I'd like to order now,아이드 라이크 투 오더 나우,나는 / 하고 싶다 / 주문하는 것을 / 지금,지금 주문하고 싶어요
I need you to wait,아이 니드 유 투 웨이트,나는 / 필요하다 / 당신이 / 기다리는 것이,조금만 기다려 줬으면 해
I just wanted to say thank you,아이 저스트 원티드 투 세이 땡큐,나는 / 단지 / 원했다 / 말하는 것을 / 고맙다고,그냥 고맙다고 말하고 싶었어
I was wondering if you could help,아이 워즈 원더링 이프 유 쿠드 헬프,나는 / 궁금해하고 있었다 / 만약 당신이 / 도와줄 수 있는지,혹시 도와줄 수 있나 해서요
The thing is I'm busy today,더 띵 이즈 아임 비지 투데이,중요한 사실은 / 이다 / 내가 / 바쁘다는 것 / 오늘,문제는 내가 오늘 바쁘다는 거야
As far as I know he left,애즈 파 애즈 아이 노우 히 레프트,내가 아는 한 / 그는 / 떠났다,내가 알기론 그는 떠났어
You don't have to worry,유 돈 해브 투 워리,당신은 / 할 필요가 없다 / 걱정하는 것을,걱정할 필요 없어
You might want to check again,유 마이트 원트 투 체크 어게인,당신은 / 원할지도 모른다 / 확인하는 것을 / 다시,다시 확인해 보는 게 좋을 것 같아
It depends on the situation,잇 디펜즈 온 더 시츄에이션,그것은 / 달려 있다 / ~에 / 그 상황,그건 상황에 따라 달라
I'll let you know later,아일 렛 유 노우 레이터,나는 / 할 것이다 / 하게 하다 / 당신을 / 아는 상태로 / 나중에,나중에 알려줄게
I didn't mean to hurt you,아이 디든 민 투 허트 유,나는 / 의도하지 않았다 / 상처 주는 것을 / 너에게,널 다치게 하려던 건 아니었어
I can't wait to see you,아이 캔트 웨이트 투 씨 유,나는 / 기다릴 수 없다 / 보는 것을 / 너를,널 만나는 게 너무 기대돼
That's why I left early,댓츠 와이 아이 레프트 얼리,그것이 / 이유이다 / 내가 / 떠난 / 일찍,그래서 내가 일찍 나간 거야
That's what I mean,댓츠 왓 아이 민,그것이 / 이다 / 것 / 내가 / 의미하는,그게 바로 내 말이야
