SetCode,SetTitle,RowType,RowSeq,Speaker,EnglishSentence,KoreanPronounce,DirectComprehension,Comprehension,Note
L1_SPK_001,Favorite Place,prompt,1,,Describe a place where you feel most comfortable and relaxed.,디스크라이브 어 플레이스 웨어 유 필 모스트 컴퍼터블 앤 릴랙스트.,묘사하라 / 장소를 / 당신이 느끼는 / 가장 편안하고 / 여유로운.,당신이 가장 편안하고 여유롭다고 느끼는 장소를 묘사하세요.,
L1_SPK_001,Favorite Place,prompt,2,,Explain why you feel that way.,익스플레인 와이 유 필 댓 웨이.,설명하라 / 왜 / 당신이 그렇게 느끼는지.,왜 그렇게 느끼는지 설명하세요.,
L1_SPK_001,Favorite Place,script,3,,The place where I feel most comfortable is my local library.,더 플레이스 웨어 아이 필 모스트 컴퍼터블 이즈 마이 로컬 라이브러리.,그 장소는 / 내가 느끼는 / 가장 편안한 / ~이다 / 나의 동네 도서관,내가 가장 편안하게 느끼는 곳은 우리 동네 도서관이에요.,
L1_SPK_001,Favorite Place,script,4,,"I've been visiting it since I was a child, so it carries a lot of personal memories for me.","아이브 빈 비지팅 잇 신스 아이 워즈 어 차일드, 소 잇 캐리즈 어 랏 오브 퍼스널 메머리즈 퍼 미.",나는 방문해왔다 / 그곳을 / ~이후로 / 내가 어린아이였을 때 / 그래서 / 그것은 담고 있다 / 많은 / 개인적 추억을 / 나에게,어렸을 때부터 다녔기 때문에 저에게는 개인적인 추억이 많은 곳이에요.,
L1_SPK_001,Favorite Place,script,5,,"First, the atmosphere is incredibly calm — there's no loud noise, no distractions, just the quiet sound of pages turning.","퍼스트, 디 앳모스피어 이즈 인크레디블리 캄 — 데어즈 노 라우드 노이즈, 노 디스트랙션즈, 저스트 더 콰이엇 사운드 오브 페이지즈 터닝.",첫째 / 분위기가 / 놀랍도록 고요하다 / 시끄러운 소음이 없다 / 방해 요소가 없다 / 오직 / 조용한 소리 / 페이지 넘기는,"우선, 분위기가 믿을 수 없이 고요해요 — 시끄러운 소음도 없고, 방해 요소도 없고, 오직 페이지 넘기는 조용한 소리만 있어요.",
L1_SPK_001,Favorite Place,script,6,,I find it much easier to concentrate there than at home or in a café.,아이 파인딧 머치 이지어 투 컨센트레잇 데어 댄 앳 홈 오어 인 어 카페.,나는 발견한다 / 훨씬 더 쉽다고 / 집중하기가 / 거기서 / ~보다 / 집이나 / 카페에서,거기서는 집이나 카페보다 집중하기가 훨씬 쉬워요.,
L1_SPK_001,Favorite Place,script,7,,"Second, I love being surrounded by books.","세컨드, 아이 러브 비잉 서라운디드 바이 북스.",둘째 / 나는 좋아한다 / 둘러싸이는 것을 / 책들로,"둘째, 저는 책으로 둘러싸여 있는 것을 좋아해요.",
L1_SPK_001,Favorite Place,script,8,,"Even if I'm not reading them, just knowing that so much knowledge is around me feels reassuring and inspiring.","이븐 이프 아임 낫 리딩 뎀, 저스트 노잉 댓 소 머치 날리지 이즈 어라운드 미 필즈 리어슈어링 앤 인스파이어링.",비록 ~이더라도 / 내가 읽지 않더라도 / 그것들을 / 단지 아는 것 / 그렇게 많은 지식이 / 내 주위에 있다는 것이 / 느끼게 한다 / 안심과 영감을,"읽지 않더라도, 그렇게 많은 지식이 주변에 있다는 것만으로도 안심이 되고 영감을 받아요.",
L1_SPK_001,Favorite Place,script,9,,"Whenever I feel stressed or overwhelmed, spending an hour at the library always helps me reset.","웨네버 아이 필 스트레스트 오어 오버웰름드, 스펜딩 언 아워 앳 더 라이브러리 올웨이즈 헬프스 미 리셋.",~할 때마다 / 내가 느끼는 / 스트레스받거나 / 압도당하는 / 보내는 것 / 한 시간을 / 도서관에서 / 항상 / 도와준다 / 나를 / 리셋하게,"스트레스를 받거나 압도당할 때마다, 도서관에서 한 시간 보내면 항상 리셋되는 데 도움이 돼요.",
L1_SPK_001,Favorite Place,script,10,,It's more than just a building — it's a personal retreat for me.,잇츠 모어 댄 저스트 어 빌딩 — 잇츠 어 퍼스널 리트릿 퍼 미.,그것은 ~이상이다 / 단지 건물 / 그것은 ~이다 / 개인적인 안식처 / 나에게,그곳은 단순한 건물 이상이에요 — 저만의 안식처예요.,
L1_SPK_002,Important Quality in a Friend,prompt,1,,What do you think is the most important quality in a good friend?,왓 두 유 띵크 이즈 더 모스트 임포어턴트 퀄러티 인 어 굿 프렌드?,무엇이라고 / 당신은 생각하는가 / 가장 중요한 자질은 / 좋은 친구에서?,좋은 친구에게 가장 중요한 자질은 무엇이라고 생각하나요?,
L1_SPK_002,Important Quality in a Friend,prompt,2,,Use details and examples to explain your answer.,유즈 디테일즈 앤 이그잼플즈 투 익스플레인 유어 앤서.,사용하라 / 세부사항과 예시를 / 설명하기 위해 / 당신의 답변을,세부사항과 예시를 들어 설명하세요.,
L1_SPK_002,Important Quality in a Friend,script,3,,"In my opinion, the most important quality in a friend is honesty.","인 마이 어피니언, 더 모스트 임포어턴트 퀄러티 인 어 프렌드 이즈 아너스티.",내 의견으로는 / 가장 중요한 자질은 / 친구에서 / ~이다 / 정직,"제 생각에, 친구에게 가장 중요한 자질은 정직이에요.",
L1_SPK_002,Important Quality in a Friend,script,4,,A truly good friend tells you the truth even when it's uncomfortable to hear.,어 트룰리 굿 프렌드 텔즈 유 더 트루쓰 이븐 웬 잇츠 언컴퍼터블 투 히어.,진정으로 좋은 친구는 / 말해준다 / 당신에게 / 진실을 / 심지어 ~할 때도 / 듣기 불편한,진정으로 좋은 친구는 듣기 불편할 때도 진실을 말해줘요.,
L1_SPK_002,Important Quality in a Friend,script,5,,"For example, I once spent weeks preparing a presentation that I thought was excellent.","포어 이그잼플, 아이 원스 스펜트 윅스 프리페어링 어 프레젠테이션 댓 아이 쏫 워즈 엑설런트.",예를 들어 / 나는 한번 / 보냈다 / 몇 주를 / 준비하면서 / 발표를 / 내가 생각했던 / 훌륭하다고,"예를 들어, 저는 한번 훌륭하다고 생각한 발표를 준비하는 데 몇 주를 보냈어요.",
L1_SPK_002,Important Quality in a Friend,script,6,,"My friend pointed out several weaknesses in it — which was hard to hear at first — but because of her feedback, I improved it significantly and received a high grade.","마이 프렌드 포인티다웃 세버럴 윅니시즈 이닛 — 위치 워즈 하드 투 히어 앳 퍼스트 — 벗 비커즈 오브 허 피드백, 아이 임프루브딧 시그니피컨틀리 앤 리시브드 어 하이 그레이드.",내 친구가 지적했다 / 여러 약점들을 / 그 안에서 / 처음에는 듣기 힘들었다 / 하지만 / 그녀의 피드백 덕분에 / 나는 개선했다 / 그것을 / 상당히 / 그리고 받았다 / 높은 성적을,제 친구가 여러 약점을 지적했는데 — 처음에는 듣기 힘들었지만 — 그녀의 피드백 덕분에 상당히 개선해서 높은 성적을 받았어요.,
L1_SPK_002,Important Quality in a Friend,script,7,,"If she had simply agreed with everything, I would have missed the chance to grow.","이프 쉬 해드 심플리 어그리드 윋 에브리씽, 아이 우드 해브 미스트 더 챈스 투 그로우.",만약 / 그녀가 / 단순히 동의했더라면 / 모든 것에 / 나는 놓쳤을 것이다 / 기회를 / 성장할,"만약 그녀가 모든 것에 그냥 동의했다면, 저는 성장할 기회를 놓쳤을 거예요.",
L1_SPK_002,Important Quality in a Friend,script,8,,"I think many people prefer friends who just say what you want to hear, but in the long run, an honest friend is far more valuable.","아이 띵크 메니 피플 프리퍼 프렌즈 후 저스트 세이 왓 유 원트 투 히어, 벗 인 더 롱 런, 언 아너스트 프렌드 이즈 파 모어 밸류어블.",나는 생각한다 / 많은 사람들이 선호한다 / 친구들을 / 그저 말하는 / 당신이 듣고 싶은 것을 / 하지만 / 장기적으로 / 정직한 친구가 / 훨씬 더 가치 있다,"많은 사람들이 듣고 싶은 말만 하는 친구를 선호하지만, 장기적으로 정직한 친구가 훨씬 더 가치 있다고 생각해요.",
L1_SPK_002,Important Quality in a Friend,script,9,,Honesty is the foundation of real trust.,아너스티 이즈 더 파운데이션 오브 리얼 트러스트.,정직은 / ~이다 / 기반 / 진정한 신뢰의,정직은 진정한 신뢰의 기반이에요.,
L1_SPK_003,Studying Alone vs. Studying in a Group,prompt,1,,Some students prefer to study alone.,썸 스튜던츠 프리퍼 투 스터디 얼론.,일부 학생들은 선호한다 / 공부하기를 / 혼자,일부 학생들은 혼자 공부하는 것을 선호한다.,
L1_SPK_003,Studying Alone vs. Studying in a Group,prompt,2,,Others prefer to study in a group.,아더즈 프리퍼 투 스터디 인 어 그룹.,다른 이들은 선호한다 / 공부하기를 / 그룹으로,다른 학생들은 그룹으로 공부하는 것을 선호한다.,
L1_SPK_003,Studying Alone vs. Studying in a Group,prompt,3,,Which do you prefer and why?,위치 두 유 프리퍼 앤 와이?,어느 쪽을 / 당신은 선호하는가 / 그리고 왜?,어느 쪽을 선호하며 그 이유는?,
L1_SPK_003,Studying Alone vs. Studying in a Group,script,4,,"Personally, I prefer studying alone.","퍼스널리, 아이 프리퍼 스터디잉 얼론.",개인적으로 / 나는 선호한다 / 공부하는 것을 / 혼자,"개인적으로, 저는 혼자 공부하는 것을 선호해요.",
