English Sentence,Korean Pronounce,Direct Comprehension,Comprehension
"Hi, Sarah.","하이, 새롸.",안녕 / 사라,"안녕, 사라."
"Hi, David.","하이, 데이빗.",안녕 / 데이빗,"안녕, 데이빗."
Good morning.,굿 모어닝.,좋은 / 아침,좋은 아침입니다.
Good afternoon.,굿 애프터눈.,좋은 / 오후,안녕하세요 (오후 인사).
"Hi, I'm David.","하이, 아임 데이빗.",안녕 / 나는 / 이야 / 데이빗,"안녕, 나는 데이빗이야."
"Hi, I'm Sarah.","하이, 아임 새롸.",안녕 / 나는 / 이야 / 사라,"안녕, 나는 사라야."
"Bye, Sarah.","바이, 새롸.",잘가 / 사라,"잘 가, 사라."
"Bye, David.","바이, 데이빗.",잘가 / 데이빗,"잘 가, 데이빗."
"Hi, my name is David.","하이, 마이 네임 이즈 데이빗.",안녕 / 나의 / 이름은 / 이야 / 데이빗,"안녕, 제 이름은 데이빗입니다."
What's your name?,왓츠 유어 네임?,무엇이니 / 너의 / 이름은,이름이 무엇인가요?
My name is Sarah.,마이 네임 이즈 새롸.,나의 / 이름은 / 이야 / 사라,제 이름은 사라입니다.
Nice to meet you.,나이스 투 밋 유.,반가워 / 만나게 되어 / 너를,만나서 반가워요.
"Nice to meet you, too.","나이스 투 밋 유, 투.",반가워 / 만나게 되어 / 너를 / 나도 역시,저도 만나서 반가워요.
"This is my teacher, Mr. Johnson.","디스 이즈 마이 티처, 미스터 죤슨.",이분은 / 나의 / 선생님이야 / 죤슨 선생님,"이분은 제 선생님인 존슨 선생님입니다."
This is my mom.,디스 이즈 마이 맘.,이분은 / 나의 / 어머니야,이분은 저희 어머니입니다.
This is my friend.,디스 이즈 마이 프렌드.,이 사람은 / 나의 / 친구야,이 사람은 제 친구예요.
Nice to meet you.,나이스 투 밋 유.,반갑습니다 / 만나 뵙게 되어,만나서 반갑습니다.
"Nice to meet you, too.","나이스 투 밋 유, 투.",반갑습니다 / 만나 뵙게 되어 / 저도 역시,저도 만나서 반갑습니다.
Where are you from?,웨어 아 유 프롬?,어디에서 / 왔니 / 너는,어디에서 왔나요?
