English Sentence,Korean Pronounce,Direct Comprehension,Comprehension
Can I help you check in?,캔 아이 헬프 유 체크 인,도와드릴까요 / 당신 / 체크인을,체크인 도와드릴까요?
I'm here to check in.,아임 히어 투 체크 인,나는 여기 있다 / 체크인을 하기 위해,체크인하러 왔습니다.
Your passport please.,유어 패스포트 플리즈,당신의 여권 / 부탁합니다,여권 보여주세요.
Here's my passport.,히어즈 마이 패스포트,여기에 있다 / 나의 여권이,제 여권 여기 있습니다.
Where are you flying to?,웨어 아 유 플라잉 투,어디로 / 당신은 / 비행해 가나요,어디로 가시나요?
I'm going to LA.,아임 고잉 투 엘에이,나는 / 가고 있다 / LA로,LA로 갑니다.
Any bags to check?,애니 백즈 투 체크,어떤 가방이 있나요 / 부칠,부치실 짐이 있나요?
Yes one bag.,예스 원 백,네 / 가방 하나요,네 가방 하나입니다.
This is my carry-on.,디스 이즈 마이 캐리 온,이것은 / 이다 / 나의 기내용 가방,이건 기내 수하물입니다.
Window or aisle?,윈도 오어 아일,창가 / 또는 / 통로?,창가 쪽인가요 통로 쪽인가요?
Could I get a window seat?,쿠드 아이 겟 어 윈도 시트,받을 수 있을까요 / 제가 / 창가 좌석을,창가 좌석으로 주시겠어요?
Could I get an aisle seat?,쿠드 아이 겟 언 아일 시트,받을 수 있을까요 / 제가 / 통로 좌석을,통로 좌석으로 주시겠어요?
Sure let me check.,슈어 렛 미 체크,물론이죠 / 제가 / 확인할게요,물론이죠 확인해 보겠습니다.
Where is security?,웨어 이즈 시큐리티,어디인가요 / 보안 검색대는,보안 검색대가 어디인가요?
Please line up here.,플리즈 라인 업 히어,부탁합니다 / 줄을 서는 것을 / 여기에,여기에 줄을 서 주세요.
Please take out your laptop.,플리즈 테이크 아웃 유어 랩톱,부탁합니다 / 꺼내는 것을 / 당신의 노트북을,노트북을 꺼내 주세요.
Take off your jacket.,테이크 오프 유어 재킷,벗으세요 / 당신의 재킷을,재킷을 벗어 주세요.
Please remove your shoes.,플리즈 리무브 유어 슈즈,부탁합니다 / 벗는 것을 / 당신의 신발을,신발을 벗어 주세요.
Hold still.,홀드 스틸,유지하세요 / 가만히,가만히 계세요.
Arms up please.,암즈 업 플리즈,팔을 위로 / 부탁합니다,팔을 들어 주세요.
Step through please.,스텝 스루 플리즈,통과해 걸으세요 / 부탁합니다,안으로 지나가 주세요.
Where is my gate?,웨어 이즈 마이 게이트,어디인가요 / 나의 게이트는,제 게이트가 어디인가요?
What time do we board?,왓 타임 두 위 보드,몇 시에 / 우리는 / 탑승하나요,몇 시에 탑승하나요?
Did the gate change?,디드 더 게이트 체인지,했나요 / 게이트가 / 바뀌는 것을,게이트가 바뀌었나요?
Is the flight delayed?,이즈 더 플라이트 딜레이드,인가요 / 비행편이 / 지연된,비행기가 지연됐나요?
Is there a place to charge my phone?,이즈 데어 어 플레이스 투 차지 마이 폰,있나요 / 장소가 / 충전할 / 내 전화를,휴대폰 충전할 곳이 있나요?
Boarding pass please.,보딩 패스 플리즈,탑승권 / 부탁합니다,탑승권 보여주세요.
Here you go.,히어 유 고,여기 / 당신이 (원하는 것이) 간다,여기 있습니다.
Excuse me can I get by?,익스큐즈 미 캔 아이 겟 바이,실례합니다 / 해도 될까요 / 제가 / 지나가는 것을,실례합니다 좀 지나가도 될까요?
Where is my seat?,웨어 이즈 마이 시트,어디인가요 / 나의 좌석은,제 자리가 어디인가요?
Am I in the right seat?,엠 아이 인 더 라이트 시트,인가요 / 제가 / 맞는 좌석에,제가 맞는 자리에 앉았나요?
Where do I put my bag?,웨어 두 아이 풋 마이 백,어디에 / 하나요 / 제가 / 두는 것을 / 내 가방을,제 가방을 어디에 둘까요?
Please place it under the seat.,플리즈 플레이스 잇 언더 더 시트,부탁합니다 / 두는 것을 / 그것을 / 좌석 아래에,좌석 아래에 놓아 주세요.
Can I use the overhead bin?,캔 아이 유즈 디 오버헤드 빈,해도 될까요 / 제가 / 사용하는 것을 / 선반을,선반을 사용해도 될까요?
Please fasten your seat belt.,플리즈 패슨 유어 시트 벨트,부탁합니다 / 매는 것을 / 당신의 안전벨트를,안전벨트를 매 주세요.
Can I recline my seat?,캔 아이 리클라인 마이 시트,해도 될까요 / 제가 / 뒤로 젖히는 것을 / 내 좌석을,좌석을 뒤로 젖혀도 될까요?
Could I switch to a window seat?,쿠드 아이 스위치 투 어 윈도 시트,할 수 있을까요 / 제가 / 바꾸는 것을 / 창가 자리로,창가 자리로 바꿀 수 있을까요?
Is there an aisle seat available?,이즈 데어 언 아일 시트 어베일러블,있나요 / 통로 좌석이 / 이용 가능한,이용 가능한 통로 좌석이 있나요?
Is this seat taken?,이즈 디스 시트 테이큰,인가요 / 이 자리가 / 차지된,이 자리 주인 있나요?
Would you like something to drink?,우쥬 라이크 썸씽 투 드링크,원하시나요 / 무언가 / 마실 것을,마실 것 좀 드릴까요?
Coffee please.,커피 플리즈,커피 / 부탁합니다,커피 주세요.
Could I get some water?,쿠드 아이 겟 썸 워터,받을 수 있을까요 / 제가 / 약간의 물을,물 좀 주시겠어요?
Could I have a blanket please?,쿠드 아이 해브 어 블랭킷 플리즈,가질 수 있을까요 / 제가 / 담요를 / 부탁합니다,담요 좀 주시겠어요?
Do you have a pillow?,두 유 해브 어 필로우,당신은 / 가지고 있나요 / 베개를,베개 있나요?
Can I get headphones?,캔 아이 겟 헤드폰즈,얻을 수 있을까요 / 제가 / 헤드폰을,헤드폰 좀 주시겠어요?
May I use the restroom?,메이 아이 유즈 더 레스트룸,해도 될까요 / 제가 / 사용하는 것을 / 화장실을,화장실 좀 써도 될까요?
