English Sentence,Korean Pronounce,Direct Comprehension
"Hi, Sarah.","하이, 새롸.",안녕 / 사라
"Hi, David.","하이, 데이빗.",안녕 / 데이빗
Good morning.,굿 모어닝.,좋은 / 아침
Good afternoon.,굿 애프터눈.,좋은 / 오후
"Hi, I'm David.","하이, 아임 데이빗.",안녕 / 나는 / 이야 / 데이빗
"Hi, I'm Sarah.","하이, 아임 새롸.",안녕 / 나는 / 이야 / 사라
"Bye, Sarah.","바이, 새롸.",잘가 / 사라
"Bye, David.","바이, 데이빗.",잘가 / 데이빗
"Hi, my name is David.","하이, 마이 네임 이즈 데이빗.",안녕 / 나의 / 이름은 / 이야 / 데이빗
What's your name?,왓츠 유어 네임?,무엇이니 / 너의 / 이름은
My name is Sarah.,마이 네임 이즈 새롸.,나의 / 이름은 / 이야 / 사라
Nice to meet you.,나이스 투 밋 유.,반가워 / 만나게 되어 / 너를
"Nice to meet you, too.","나이스 투 밋 유, 투.",반가워 / 만나게 되어 / 너를 / 나도 역시
"This is my teacher, Mr. Johnson.","디스 이즈 마이 티처, 미스터 죤슨.",이분은 / 나의 / 선생님이야 / 죤슨 선생님
This is my mom.,디스 이즈 마이 맘.,이분은 / 나의 / 어머니야
This is my friend.,디스 이즈 마이 프렌드.,이 사람은 / 나의 / 친구야
Nice to meet you.,나이스 투 밋 유.,반갑습니다 / 만나 뵙게 되어
"Nice to meet you, too.","나이스 투 밋 유, 투.",반갑습니다 / 만나 뵙게 되어 / 저도 역시
Where are you from?,웨어 아 유 프롬?,어디에서 / 왔니 / 너는
I'm from Korea.,아임 프롬 코리아.,나는 / 왔어 / 한국에서
I'm from Canada.,아임 프롬 캐나다.,나는 / 왔어 / 캐나다에서
I'm from Singapore.,아임 프롬 싱가포어.,나는 / 왔어 / 싱가포르에서
I'm from Australia.,아임 프롬 오스트레일리아.,나는 / 왔어 / 호주에서
Are you here on vacation?,아 유 히어 온 베이케이션?,왔니 / 너는 / 여기에 / 휴가로
"Yes, I am.","예스, 아이 엠.",응 / 그래
"No, I am here on business.","노우, 아이 엠 히어 온 비즈니스.",아니 / 나는 / 있어 / 여기에 / 사업상
Good bye!,굿 바이!,잘가!
See you later.,씨 유 레이터.,봐 / 너를 / 나중에
See you next time.,씨 유 넥스트 타임.,봐 / 너를 / 다음에
See you on Monday.,씨 유 온 먼데이.,봐 / 너를 / 월요일에
See you next week.,씨 유 넥스트 윅.,봐 / 너를 / 다음주에
"Happy birthday, David.","해피 버얼쓰데이, 데이빗.",행복한 / 생일 / 데이빗
"Happy birthday, mom.","해피 버얼쓰데이, 맘.",행복한 / 생일 / 엄마
"Happy birthday, dad.","해피 버얼쓰데이, 대드.",행복한 / 생일 / 아빠
Thank you.,땡큐.,고마워
You're welcome.,유어 웰컴.,천만에
"Mom, this is for you.","맘, 디스 이즈 포 유.",엄마 / 이것은 / 이에요 / 엄마를 위한 것
"Dad, this is for you.","대드, 디스 이즈 포 유.",아빠 / 이것은 / 이에요 / 아빠를 위한 것
"Oh, thank you.","오, 땡큐.",오 / 고마워
Excuse me.,익스큐즈 미.,실례합니다
Yes.,예스.,네
"Oh, I'm sorry.","오, 아임 쏘리.",오 / 나는 / 미안해
It's OK.,잇츠 오케이.,그것은 / 괜찮아
What is this?,왓 이즈 디스?,무엇이니 / 이것은
It's a chair.,잇츠 어 체어.,그것은 / 이야 / 의자
It's a pencil case.,잇츠 어 펜슬 케이스.,그것은 / 이야 / 필통
It's a door.,잇츠 어 도어.,그것은 / 이야 / 문
It's a window.,잇츠 어 윈도우.,그것은 / 이야 / 창문
It's a desk.,잇츠 어 데스크.,그것은 / 이야 / 책상
It's a bag.,잇츠 어 백.,그것은 / 이야 / 가방
What's that?,왓츠 댓?,무엇이니 / 저것은
It's a bag.,잇츠 어 백.,그것은 / 이야 / 가방
What are these?,왓 아 디즈?,무엇이니 / 이것들은
They're bags.,데이어 백스.,그것들은 / 이야 / 가방들
"Sit down, please.","싯 다운, 플리즈.",앉아 / 주세요
OK.,오케이.,알았어
"Stand up, please.","스탠드 업, 플리즈.",일어나 / 주세요
OK.,오케이.,알았어
Open your mouth.,오픈 유어 마우쓰.,벌려 / 너의 / 입을
OK.,오케이.,알았어
Close your mouth.,클로즈 유어 마우쓰.,다물어 / 너의 / 입을
OK.,오케이.,알았어
Open your eyes.,오픈 유어 아이즈.,떠 / 너의 / 눈을
Close your eyes.,클로즈 유어 아이즈.,감아 / 너의 / 눈을
Open your book.,오픈 유어 북.,펼쳐 / 너의 / 책을
Close your book.,클로즈 유어 북.,덮어 / 너의 / 책을
Touch your ears.,터치 유어 이어즈.,만져 / 너의 / 귀를
Touch your face.,터치 유어 페이스.,만져 / 너의 / 얼굴을
Touch your nose.,터치 유어 노우즈.,만져 / 너의 / 코를
Please be quiet.,플리즈 비 콰이엇.,제발 / 조용히 해
Listen carefully.,리슨 케어풀리.,들어 / 주의 깊게
OK.,오케이.,알았어
Point to the teacher.,포인트 투 더 티처.,가리켜 / 선생님을
OK.,오케이.,알았어
Point to the book.,포인트 투 더 북.,가리켜 / 책을
Point to the chair.,포인트 투 더 체어.,가리켜 / 의자를
Raise your hand.,레이즈 유어 핸드.,올려 / 너의 / 손을
"Yes, ma'am.","예스, 맴.",네 / 선생님
Put your hand down.,풋 유어 핸드 다운.,내려 / 너의 / 손을
"Yes, sir.","예스, 써.",네 / 선생님
Put your book down.,풋 유어 북 다운.,내려놔 / 너의 / 책을
Take out your book.,테이크 아웃 유어 북.,꺼내 / 너의 / 책을
"Yes, sir.","예스, 써.",네 / 선생님
Take out your pen.,테이크 아웃 유어 펜.,꺼내 / 너의 / 펜을
Pick up your pencil.,픽 업 유어 펜슬.,집어 / 너의 / 연필을
OK.,오케이.,알았어
Put your pencil down.,풋 유어 펜슬 다운.,내려놔 / 너의 / 연필을
OK.,오케이.,알았어
I'm hungry.,아임 헝그리.,나는 / 배고파
Look at your hands.,룩 앳 유어 핸즈.,봐 / 너의 / 손을
Look at your face.,룩 앳 유어 페이스.,봐 / 너의 / 얼굴을
Look at the monkey.,룩 앳 더 멍키.,봐 / 원숭이를
It's small.,잇츠 스몰.,그것은 / 작아
It's big.,잇츠 빅.,그것은 / 커
"Wash your hands, please.","워쉬 유어 핸즈, 플리즈.",씻어 / 너의 / 손을 / 제발
OK.,오케이.,알았어
What's your name?,왓츠 유어 네임?,무엇이니 / 너의 / 이름은
My name is Sarah.,마이 네임 이즈 새롸.,나의 / 이름은 / 이야 / 사라
May I have your name?,메이 아이 해브 유어 네임?,물어봐도 될까요 / 너의 / 이름을
My name is David.,마이 네임 이즈 데이빗.,나의 / 이름은 / 이야 / 데이빗
Let me introduce myself to you.,렛 미 인트로듀스 마이셀프 투 유.,해볼게 / 소개를 / 나 자신을 / 너에게
My name is David.,마이 네임 이즈 데이빗.,나의 / 이름은 / 이야 / 데이빗
"Nice to meet you, David.","나이스 투 밋 유, 데이빗.",반가워 / 만나게 되어 / 데이빗
"Nice to meet you, too.","나이스 투 밋 유, 투.",반가워 / 만나게 되어 / 나도 역시
Let me introduce my younger sister to you.,렛 미 인트로듀스 마이 영거 씨스터 투 유.,해볼게 / 소개를 / 나의 / 여동생을 / 너에게
This is Sarah.,디스 이즈 새롸.,이 애는 / 이야 / 사라
"Sarah, this is my friend, David.","새롸, 디스 이즈 마이 프렌드, 데이빗.",사라 / 이 사람은 / 나의 / 친구야 / 데이빗
"Nice to meet you, David.","나이스 투 밋 유, 데이빗.",반가워 / 만나게 되어 / 데이빗
"Nice to meet you, too, Sarah.","나이스 투 밋 유, 투, 새롸.",반가워 / 만나게 되어 / 나도 역시 / 사라
"Could you say your last name again, please?","쿠쥬 세이 유어 라스트 네임 어겐, 플리즈?",말해줄 수 있니 / 너의 / 성을 / 다시 / 한번
